"crash_date","crash_time","borough","zip_code","latitude","longitude","location","on_street_name","off_street_name","cross_street_name","number_of_persons_injured","number_of_persons_killed","number_of_pedestrians_injured","number_of_pedestrians_killed","number_of_cyclist_injured","number_of_cyclist_killed","number_of_motorist_injured","number_of_motorist_killed","contributing_factor_vehicle_1","contributing_factor_vehicle_2","contributing_factor_vehicle_3","contributing_factor_vehicle_4","contributing_factor_vehicle_5","collision_id","vehicle_type_code1","vehicle_type_code2","vehicle_type_code_3","vehicle_type_code_4","vehicle_type_code_5"
"2021-04-13 00:00:00","21:35:00","BROOKLYN",11217,"40.68358","-73.97617","(40.68358, -73.97617)",NULL,NULL,"620       ATLANTIC AVENUE               ",1,0,1,0,0,0,0,0,"Unspecified",NULL,NULL,NULL,NULL,4407147,"Sedan",NULL,NULL,NULL,NULL
"2019-05-21 00:00:00","22:50:00","BROOKLYN",11201,"40.69754","-73.98312","
,  
(40.69754, -73.98312)","GOLD STREET","CONCORD STREET",NULL,0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified",NULL,NULL,NULL,4136992,"�MBU","Taxi",NULL,NULL,NULL
"2021-02-26 00:00:00","14:50:00","BRONX",10461,"40.843464","-73.836","
,  
(40.843464, -73.836)",NULL,NULL,"2819      MIDDLETOWN ROAD",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",NULL,NULL,NULL,4395664,"Station Wagon/Sport Utility Vehicle",NULL,NULL,NULL,NULL
"2021-03-31 00:00:00","22:20:00","BROOKLYN",11234,"40.626457","-73.918","
,  
(40.626457, -73.918)","RALPH AVENUE","AVENUE K",NULL,1,0,0,0,0,0,1,0,"Driver Inexperience","Unspecified",NULL,NULL,NULL,4403773,"Sedan","Sedan",NULL,NULL,NULL
"2021-04-06 00:00:00","22:58:00","STATEN ISLAND",10312,"40.526894","-74.16728","
,  
(40.526894, -74.16728)","BARCLAY AVENUE","HYLAN BOULEVARD",NULL,7,0,0,0,0,0,7,0,"Failure to Yield Right-of-Way","Unsafe Speed",NULL,NULL,NULL,4405244,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NULL,NULL,NULL
"2021-04-15 00:00:00","13:30:00","BRONX",10461,"40.857365","-73.84657","
,  
(40.857365, -73.84657)",NULL,NULL,"1400      PELHAM PARKWAY SOUTH",0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",NULL,NULL,NULL,4407778,"Sedan","Ambulance",NULL,NULL,NULL
"2021-04-14 00:00:00","21:43:00","QUEENS",11429,"40.71402","-73.74827","
,  
(40.71402, -73.74827)",NULL,NULL,"211-20    99 AVENUE",0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",NULL,NULL,NULL,4407407,"Station Wagon/Sport Utility Vehicle",NULL,NULL,NULL,NULL
"2021-04-16 00:00:00","17:40:00","BRONX",10474,"40.815","-73.89402","
,  
(40.815, -73.89402)","GARRISON AVENUE","LONGWOOD AVENUE",NULL,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",NULL,NULL,NULL,4407900,"Sedan","Sedan",NULL,NULL,NULL
"2021-04-15 00:00:00","10:30:00","BROOKLYN",11207,"40.655903","-73.89817","
,  
(40.655903, -73.89817)",NULL,NULL,"319       DE WITT AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",NULL,NULL,NULL,4407746,"Sedan","Station Wagon/Sport Utility Vehicle",NULL,NULL,NULL
"2021-04-16 00:00:00","16:35:00","BRONX",10475,"40.890076","-73.819855","
,  
(40.890076, -73.819855)","BOSTON ROAD","ROPES AVENUE",NULL,2,0,0,0,0,0,2,0,"Unsafe Speed","Unspecified",NULL,NULL,NULL,4408143,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NULL,NULL,NULL
"2021-04-15 00:00:00","17:20:00","BROOKLYN",11236,"40.650402","-73.89422","
,  
(40.650402, -73.89422)","GLENWOOD ROAD","EAST 108 STREET",NULL,1,0,0,0,0,0,1,0,"Following Too Closely","Unspecified",NULL,NULL,NULL,4407638,"Sedan","Van",NULL,NULL,NULL
"2021-04-16 00:00:00","21:20:00","MANHATTAN",10025,"40.79335","-73.97275","
,  
(40.79335, -73.97275)","WEST 94 STREET","BROADWAY",NULL,0,0,0,0,0,0,0,0,"Backing Unsafely","Unspecified",NULL,NULL,NULL,4407958,"Sedan",NULL,NULL,NULL,NULL
"2021-04-16 00:00:00","17:20:00","MANHATTAN",10012,"40.72538","-74.00011","
,  
(40.72538, -74.00011)","PRINCE STREET","WOOSTER STREET",NULL,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",NULL,NULL,NULL,4407885,"Station Wagon/Sport Utility Vehicle","Sedan",NULL,NULL,NULL
"2021-04-15 00:00:00","14:30:00","QUEENS",11377,"40.75184","-73.90358","
,  
(40.75184, -73.90358)","BROADWAY","58 STREET",NULL,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",NULL,NULL,NULL,4407616,"Sedan","Station Wagon/Sport Utility Vehicle",NULL,NULL,NULL
"2021-04-16 00:00:00","23:20:00","BROOKLYN",11226,"40.649788","-73.9622","
,  
(40.649788, -73.9622)","EAST 19 STREET","CHURCH AVENUE",NULL,3,0,0,0,0,0,3,0,"Unspecified","Unspecified","Unspecified",NULL,NULL,4408038,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NULL,NULL
"2021-04-16 00:00:00","18:15:00","BROOKLYN",11221,"40.686928","-73.920815","
,  
(40.686928, -73.920815)",NULL,NULL,"50        HOWARD AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",NULL,NULL,NULL,4408224,"Sedan","Station Wagon/Sport Utility Vehicle",NULL,NULL,NULL
