vehicle_type_code1,vehicle_type_total
0,1
1,2
11111,1
12 PA,1
12 Pa,1
15 Pa,1
18 WH,1
18 WHEELER,1
197209,1
1S,1
2 DOO,1
2 DR,1
2 TON,1
2 WHE,1
2 dr sedan,1304
2- to,1
2000,1
250-3,1
26 ft,1
3 WHE,2
3 Whe,1
3 doo,1
3-Door,138
315 e,1
35 FT,1
3DC-,1
3DOOR,1
4 RUN,1
4 axe,1
4 dr sedan,20162
4D,2
4DR,2
4DS,3
4dsd,1
4whee,1
5X8 T,1
985,1
994,1
9999,1
?omme,1
A-ONE,1
ABULA,1
ACCES,1
AERIA,1
AMB,23
AMBU,41
AMBUL,244
AMBULACE,1
AMBULANCE,2029
AMBULANE,2
AMBULENCE,2
AMbul,1
APP,1
APPOR,1
ARMOR,1
Acces,1
Amb,3
Ambu,3
Ambul,59
Ambulance,1987
Ambulette,1
Armored Truck,189
BACK,3
BACK HOE,1
BACKH,9
BICYCLE,507
BK,2
BLACK,1
BOAT,1
BOBCA,4
BOBCAT FOR,1
BOOM,2
BOX,1
BOX H,1
BOX T,22
BOX TRUCK,7
BROOM,1
BS,2
BTM,1
BUCKE,1
BULLD,4
BULLDOZER,1
BUS,11933
Backh,2
Backhoe Lo,1
Barri,1
Beverage Truck,155
Bicyc,1
Bike,6862
Bobcat,1
Box T,5
Box Truck,12702
Box t,2
Box truck,1
Bucket Tru,1
Bucketload,1
Budge,2
Bulk Agriculture,37
Bus,10711
C0MME,1
CAB,1
CABIN,1
CAMP,1
CARGO,3
CARGO VAN,1
CART,1
CASE,1
CAT,1
CAT P,1
CAT.,1
CATAPILLAR,1
CATER,1
CEMEN,4
CHART,1
CHERR,1
CHEVR,1
CHEVROLET,1
CHEVY EXPR,1
CITY,4
CMIX,3
CMIXER,1
CMS-T,1
CO,3
COM,30
COMER,1
COMM,4
COMME,29
COMMERCIAL,5
COMMM,1
COMMU,1
CON E,1
CONST,4
CONT,1
CONTR,1
COUPE,1
COURI,3
CRANE,7
Can,1
Cargo,1
Carry All,1016
Cement Tru,1
Chassis Cab,310
City,2
Com,2
Comix,1
Comme,3
Commercial,2
Concrete Mixer,225
Const,1
Convertible,1822
Courier,1
Crane,1
D/V WB,1
DEIV,1
DELIV,37
DELIVERY,2
DELIVERY T,2
DELV,23
DELVI,1
DEPT VAN #,1
DIESE,1
DIRT,1
DIRT BIKE,2
DIRTB,1
DODGE,1
DOT EQUIPM,1
DOT T,1
DRILL RIG,1
DUMP,58
DUMP TRUCK,5
DUMPS,1
DUMPT,1
Deliv,5
Delivery,1
Delv,3
Dent and S,1
Dirt Bike,1
Dodge,1
Dump,1747
Dump truck,3
Dumps,1
E BIK,7
E ONE,1
E REVEL SC,1
E SCO,1
E bike,1
E-BIK,7
E-BIKE,2
E-Bik,62
E-Bike,537
E-MOT,1
E-Sco,80
E-Scooter,439
E-UNICYCLE,1
E-bike,1
E-scooter,2
E.M.S,1
E450,1
EBIKE,3
ECONO,1
ELEC.,1
ELEC. UNIC,1
ELECT,26
ELECTRIC B,1
ELECTRIC S,2
EMERGENCY,1
EMRGN,1
EMS,3
EMS A,2
EMS Ambula,1
EMS T,1
EMS bus,1
ENGIN,2
ESU RESCUE,1
ESU T,2
EXCAV,4
Ebike,1
Elect,2
Enclosed Body - Nonremovable Enclosure,5
Enclosed Body - Removable Enclosure,5
Excavator,1
F550,1
FD TR,1
FD tr,1
FDNY,84
FDNY #226,1
FDNY AMBUL,10
FDNY Ambul,4
FDNY EMS,1
FDNY EMS V,1
FDNY ENGIN,2
FDNY Engin,1
FDNY FIRE,9
FDNY FIRET,2
FDNY Fire,1
FDNY LADDE,2
FDNY TRUCK,8
FDNY fire,1
FED E,2
FEDEX,4
FIRE,102
FIRE ENGIN,1
FIRE TRUCK,696
FIRER,1
FIRET,30
FIRETRUCK,10
FIRTRUCK,1
FLAT,14
FLAT  BED,1
FLAT-,1
FLAT/,1
FLATB,4
FLATBED,1
FLATBED FR,1
FLEET,1
FOOD,4
FORD,11
FORD SPRIN,1
FORD VAN,1
FORK,8
FORK LIFT,3
FORK-,1
FORKL,23
FORKLIFT,2
FREE,1
FREIG,11
FREIGHT TR,1
FREIGHTLIN,1
FRHT,3
FRIEG,1
FRONT,1
FR`,1
FUEL,2
FUSION,1
Farm Vehicle,1
Fd fi,1
Fdny ambul,2
Fedex,1
Fire,33
Fire Engin,2
Fire Truck,9
Fire truck,3
Firet,4
Firetruck,2
Flat,3
Flat Bed,996
Flat Rack,159
Flatb,2
Food,1
Ford,1
Ford Van,1
Ford sprin,1
Fork,3
Fork Lift,1
Fork lift,1
Forkl,5
Forklift,2
Front-Load,1
G AMB,1
G COM,4
G PSD,2
G Sem,1
G TOW,1
G com,1
GARBA,10
GARBAGE TR,4
GATOR,1
GE/SC,1
GEN  AMBUL,1
GLBEN,1
GOLF,3
GOLF CART,3
GOVER,3
GRAY,2
GREEN,1
GRUMM,1
Garba,2
Garbage or Refuse,1136
Glass Rack,8
Go kart,1
Golf,2
Government,1
Grain,1
Grumman LL,1
HD To,1
HEAVY,1
HERTZ RAM,1
HI TA,1
HIGHL,1
HINO,1
HORSE,2
HORSE CARR,1
HOSRE,1
HOUSE,1
Hearse,1
Hopper,12
Horse,1
Horse Trai,1
Hrse,1
I-haul,1
ICE C,2
INTER,1
Inter,1
JOHN DEERE,1
KENWO,1
KME/F,1
KP160,1
KUBOT,1
LADDER 34,1
LADDER TRU,2
LARGE COM VEH(6 OR MORE TIRES),10013
LEFT,1
LIEBH,1
LIGHT,3
LIGHT TRAI,2
LIMO,97
LIMOU,1
LIVER,1
LIVERY VEHICLE,8571
LTRL,1
Lift Boom,112
Livery Bus,1
Livestock Rack,9
Log,3
Lunch Wagon,19
MAC T,1
MACK,11
MACK TRUCK,1
MAIL,4
MAIL TRUCK,3
MARK,1
MARKED VAN,1
MAXIM,1
MCY B,1
MINI,1
MINIV,1
MO PE,1
MOBIL,2
MOPD,3
MOPED,41
MOTOR,11
MOTOR HOME,1
MOTOR SCOO,1
MOTORCYCLE,3136
MOTORSCOOT,1
MOVIN,3
MOVING VAN,1
MTA,2
MTA B,8
MTA BUS,1
MTA Bus,1
MTA C,1
MTA U,1
MTA V,1
MTA bus,1
Mail,1
Marke,2
Mecha,1
Mercedes,1
Mini,2
Mini Van,1
Minibike,18
Minicycle,12
Mo pa,1
Moped,394
Motor,3
Motor Home,2
Motorbike,209
Motorcycle,3364
Motorized Home,15
Motorscoot,1
Motorscooter,304
Mta,1
Multi-Wheeled Vehicle,46
NAVIG,2
NEW Y,2
NISSA,2
NO/BU,1
NOT I,1
NS AM,1
NT TR,1
NTTRL,1
NYC AMBULA,2
NYC D,1
NYC F,2
NYC FD,1
NYC SANITA,1
NYC a,1
NYCHA,1
NYPD,3
NYPD VAN,1
NYS A,1
NYS Ambula,1
Nypd,1
OIL T,1
OLC,1
OML,5
OML/OMNIBU,1
OMNIB,4
OMR,11
OMT,5
OMT/T,1
OTHER,18135
OZ MO,1
Open Body,35
P/SH,6
PAS,19
PAS V,1
PASS,4
PASSE,1
PASSENGER,2
PASSENGER VEHICLE,310353
PC,6
PEDICAB,21
PERM,1
PET,1
PICK UP,1
PICK UP TR,3
PICK-,1
PICK-UP TRUCK,8634
PICKU,8
PICKUP,2
PICKUP TRU,1
PK,1164
POIS,1
POLIC,1
POSTA,9
POSTAL TRU,2
POSTAL VEH,1
POSTO,1
POWER,7
POWER LADD,1
POWER SHOV,2
PRIVA,1
PS,1
PSD,8
PSH,1
PSP,1
PU,1
PUMP,1
PUSH SCOOT,1
Pallet,20
Parce,1
Pas,1
Pavin,2
Pedicab,24
Pick,5
