borough,contributing_factor_vehicle_1,contributing_factor_total
BRONX,80,6
BRONX,Accelerator Defective,111
BRONX,Aggressive Driving/Road Rage,990
BRONX,Alcohol Involvement,2030
BRONX,Animals Action,111
BRONX,Backing Unsafely,7630
BRONX,Brakes Defective,643
BRONX,Cell Phone (hand-Held),58
BRONX,Cell Phone (hand-held),8
BRONX,Cell Phone (hands-free),16
BRONX,Driver Inattention/Distraction,26703
BRONX,Driver Inexperience,2541
BRONX,Driverless/Runaway Vehicle,156
BRONX,Drugs (Illegal),55
BRONX,Drugs (illegal),81
BRONX,Eating or Drinking,12
BRONX,Failure to Keep Right,232
BRONX,Failure to Yield Right-of-Way,7770
BRONX,Fatigued/Drowsy,2306
BRONX,Fell Asleep,368
BRONX,Following Too Closely,4929
BRONX,Glare,466
BRONX,Headlights Defective,8
BRONX,Illnes,127
BRONX,Illness,164
BRONX,Lane Marking Improper/Inadequate,76
BRONX,Listening/Using Headphones,4
BRONX,Lost Consciousness,1192
BRONX,Obstruction/Debris,292
BRONX,Other Electronic Device,237
BRONX,Other Lighting Defects,12
BRONX,Other Vehicular,8006
BRONX,Outside Car Distraction,920
BRONX,Oversized Vehicle,938
BRONX,Passenger Distraction,810
BRONX,Passing Too Closely,4577
BRONX,Passing or Lane Usage Improper,3369
BRONX,Pavement Defective,179
BRONX,Pavement Slippery,1646
BRONX,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,876
BRONX,Physical Disability,730
BRONX,Prescription Medication,1409
BRONX,Reaction to Other Uninvolved Vehicle,112
BRONX,Reaction to Uninvolved Vehicle,1075
BRONX,Shoulders Defective/Improper,12
BRONX,Steering Failure,226
BRONX,Texting,2
BRONX,Tinted Windows,16
BRONX,Tire Failure/Inadequate,140
BRONX,Tow Hitch Defective,20
BRONX,Traffic Control Device Improper/Non-Working,64
BRONX,Traffic Control Disregarded,2814
BRONX,Turning Improperly,3951
BRONX,Unsafe Lane Changing,2251
BRONX,Unsafe Speed,1994
BRONX,Unspecified,76853
BRONX,Using On Board Navigation Device,18
BRONX,Vehicle Vandalism,15
BRONX,View Obstructed/Limited,1412
BRONX,Windshield Inadequate,7
BROOKLYN,80,16
BROOKLYN,Accelerator Defective,211
BROOKLYN,Aggressive Driving/Road Rage,1531
BROOKLYN,Alcohol Involvement,3788
BROOKLYN,Animals Action,176
BROOKLYN,Backing Unsafely,15731
BROOKLYN,Brakes Defective,1195
BROOKLYN,Cell Phone (hand-Held),67
