borough,vehicle_type_code1,vehicle_type_total
BRONX,197209,1
BRONX,1S,1
BRONX,2 DOO,1
BRONX,2 dr sedan,176
BRONX,3-Door,39
BRONX,315 e,1
BRONX,35 FT,1
BRONX,3DOOR,1
BRONX,4 dr sedan,3058
BRONX,4DS,1
BRONX,ACCES,1
BRONX,AMB,6
BRONX,AMBU,9
BRONX,AMBUL,65
BRONX,AMBULACE,1
BRONX,AMBULANCE,477
BRONX,AMBULENCE,2
BRONX,Amb,1
BRONX,Ambu,1
BRONX,Ambul,17
BRONX,Ambulance,590
BRONX,Armored Truck,18
BRONX,BACK,1
BRONX,BACKH,1
BRONX,BICYCLE,21
BRONX,BLACK,1
BRONX,BOOM,1
BRONX,BOX H,1
BRONX,BOX T,3
BRONX,BOX TRUCK,3
BRONX,BULLDOZER,1
BRONX,BUS,1457
BRONX,Beverage Truck,29
BRONX,Bike,684
BRONX,Bobcat,1
BRONX,Box Truck,1606
BRONX,Bulk Agriculture,5
BRONX,Bus,1936
BRONX,C0MME,1
BRONX,CAB,1
BRONX,CABIN,1
BRONX,CAMP,1
BRONX,CARGO,1
BRONX,CAT P,1
BRONX,CITY,1
BRONX,COM,6
BRONX,COMME,1
BRONX,COMMERCIAL,2
BRONX,CONST,2
BRONX,COURI,1
BRONX,Can,1
BRONX,Carry All,172
BRONX,Chassis Cab,76
BRONX,Comme,2
BRONX,Commercial,1
BRONX,Concrete Mixer,21
BRONX,Convertible,252
BRONX,Courier,1
BRONX,DELIV,7
BRONX,DELV,2
BRONX,DIESE,1
BRONX,DIRT BIKE,1
BRONX,DRILL RIG,1
BRONX,DUMP,10
BRONX,Dirt Bike,1
BRONX,Dump,234
BRONX,Dump truck,1
BRONX,E BIK,2
BRONX,E bike,1
BRONX,E-BIK,2
BRONX,E-BIKE,1
BRONX,E-Bik,10
BRONX,E-Bike,136
BRONX,E-Sco,19
BRONX,E-Scooter,95
BRONX,E-UNICYCLE,1
BRONX,E-bike,1
BRONX,E-scooter,2
BRONX,E.M.S,1
BRONX,EBIKE,1
BRONX,ELECT,10
BRONX,ELECTRIC B,1
BRONX,ELECTRIC S,1
BRONX,EMS A,2
BRONX,EXCAV,1
BRONX,Elect,1
BRONX,Enclosed Body - Nonremovable Enclosure,1
BRONX,FDNY,13
BRONX,FDNY AMBUL,5
BRONX,FDNY Ambul,1
BRONX,FDNY FIRE,3
BRONX,FDNY FIRET,1
BRONX,FDNY LADDE,2
BRONX,FDNY TRUCK,2
BRONX,FIRE,18
BRONX,FIRE TRUCK,100
BRONX,FIRET,7
BRONX,FIRETRUCK,2
BRONX,FLAT,1
BRONX,FORD,2
BRONX,FORK,1
BRONX,FORKL,3
BRONX,FR`,1
BRONX,FUEL,1
BRONX,Farm Vehicle,1
BRONX,Fire,4
BRONX,Fire Truck,1
BRONX,Firetruck,1
BRONX,Flat Bed,97
BRONX,Flat Rack,11
BRONX,Ford,1
BRONX,Fork Lift,1
BRONX,G PSD,2
BRONX,G Sem,1
BRONX,G com,1
BRONX,GARBA,3
BRONX,GARBAGE TR,1
BRONX,GOLF,1
BRONX,GOLF CART,1
BRONX,Garba,1
BRONX,Garbage or Refuse,178
BRONX,Go kart,1
BRONX,Golf,2
BRONX,HEAVY,1
BRONX,HOUSE,1
BRONX,Hopper,1
BRONX,LARGE COM VEH(6 OR MORE TIRES),1211
BRONX,LIMO,11
BRONX,LIMOU,1
BRONX,LIVERY VEHICLE,1789
BRONX,Lift Boom,18
BRONX,Livestock Rack,3
BRONX,Lunch Wagon,3
BRONX,MACK,2
BRONX,MOPED,10
BRONX,MOTOR,4
BRONX,MOTORCYCLE,322
BRONX,MOTORSCOOT,1
BRONX,MOVIN,1
BRONX,MTA,1
BRONX,MTA B,3
BRONX,MTA Bus,1
BRONX,MTA C,1
BRONX,Mini,2
BRONX,Minibike,3
BRONX,Minicycle,2
BRONX,Moped,67
BRONX,Motor Home,1
BRONX,Motorbike,52
BRONX,Motorcycle,504
BRONX,Motorized Home,3
BRONX,Motorscooter,52
BRONX,Mta,1
BRONX,Multi-Wheeled Vehicle,10
BRONX,NEW Y,1
BRONX,NYC F,1
BRONX,NYC a,1
BRONX,NYS Ambula,1
BRONX,OML,2
BRONX,OML/OMNIBU,1
BRONX,OMNIB,1
BRONX,OMR,2
BRONX,OTHER,2668
BRONX,Open Body,4
BRONX,P/SH,2
BRONX,PAS,3
BRONX,PAS V,1
BRONX,PASSE,1
BRONX,PASSENGER VEHICLE,42780
BRONX,PC,1
BRONX,PEDICAB,1
BRONX,PICK UP TR,1
BRONX,PICK-UP TRUCK,780
BRONX,PICKUP,1
BRONX,PK,210
BRONX,POSTA,1
BRONX,POWER,2
BRONX,PSD,5
BRONX,PSP,1
BRONX,Pallet,3
BRONX,Pick,2
BRONX,Pick up tr,1
BRONX,Pick-up Truck,2541
BRONX,Pickup with mounted Camper,7
BRONX,Power,1
BRONX,RENTA,1
BRONX,REP,1
BRONX,RINGO,1
BRONX,RV,3
BRONX,Ram Promas,1
BRONX,Refrigerated Van,38
BRONX,SANMEN COU,1
BRONX,SCHOO,9
BRONX,SCHOOL BUS,2
BRONX,SCOOT,6
BRONX,SCOOTER,21
BRONX,SELF,1
BRONX,SELF INSUR,1
BRONX,SM YW,1
BRONX,SMALL COM VEH(4 TIRES) ,1138
BRONX,SMART CAR,1
BRONX,SNOW PLOW,1
BRONX,SPARK150 S,1
BRONX,SPC,1
BRONX,SPORT UTILITY / STATION WAGON,15263
BRONX,STREE,2
BRONX,SUBN - AMB,1
BRONX,SUBUR,1
BRONX,Sanit,1
BRONX,Schoo,2
BRONX,School Bus,17
BRONX,Scoot,2
BRONX,Scooter,2
BRONX,Sedan,46474
BRONX,Snow Plow,13
BRONX,St,1
BRONX,Stake or Rack,7
BRONX,Station Wagon/Sport Utility Vehicle,33444
BRONX,Street Cle,1
BRONX,Subn,1
BRONX,Subr,1
BRONX,TANK,1
BRONX,TANKE,2
BRONX,TAXI,1295
BRONX,TKTR,1
BRONX,TL TR,1
BRONX,TOW T,2
BRONX,TOW TRUCK,2
BRONX,TOWER,1
BRONX,TRAC,2
BRONX,TRACT,5
BRONX,TRACTOR,1
BRONX,TRAIL,10
BRONX,TRAILER,1
BRONX,TRAILER/FL,1
BRONX,TRL,3
BRONX,TRLR,1
BRONX,TRUCK,15
BRONX,TRUCK COMM,1
BRONX,TRUCK VAN,1
BRONX,Tanker,78
BRONX,Taxi,3190
BRONX,Tow,1
BRONX,Tow Truck,6
BRONX,Tow Truck / Wrecker,96
BRONX,Tract,2
BRONX,Tractor Truck Diesel,1034
BRONX,Tractor Truck Gasoline,134
BRONX,Trail,3
BRONX,Trailer,2
BRONX,Tram,1
BRONX,Truck,1
BRONX,U HAUL TRU,1
BRONX,UHAUL,2
BRONX,UNK,2
BRONX,UNKNO,2
BRONX,UNKNOWN,3092
BRONX,US PO,2
BRONX,USPS,3
BRONX,USPS #7530,1
BRONX,USPS POSTA,1
BRONX,USPS2,1
BRONX,UT,1
BRONX,UTIL,2
BRONX,UTILI,1
BRONX,UTILITY TR,1
BRONX,UTILITY VE,1
BRONX,VAN,2007
BRONX,VAN T,1
BRONX,Van,632
BRONX,Van Camper,1
BRONX,Vanette,2
BRONX,WHEEL,1
BRONX,WINNE,1
BRONX,WORKH,1
BRONX,Wh Ford co,1
BRONX,YALE,1
BRONX,YELLO,1
BRONX,ambu,2
BRONX,ambul,12
BRONX,ambulance,6
BRONX,box t,2
BRONX,box truck,1
BRONX,bus,1
BRONX,com,1
BRONX,com v,1
BRONX,comme,3
BRONX,deliv,1
BRONX,ebike,1
BRONX,elect,2
BRONX,ems b,1
BRONX,fdny,4
BRONX,fire,3
BRONX,fire truck,1
BRONX,firet,2
BRONX,flat,1
BRONX,ford,1
BRONX,gas scoote,1
BRONX,golf,3
BRONX,limo,1
BRONX,miniv,1
BRONX,moped,4
BRONX,none,1
BRONX,pas,1
BRONX,passe,1
BRONX,pc,1
BRONX,pick,1
BRONX,pick up,1
BRONX,picku,1
BRONX,postal bus,1
BRONX,power,1
BRONX,prks,1
BRONX,rmp,1
BRONX,schoo,4
BRONX,scoot,3
BRONX,scooter,2
BRONX,spec,1
BRONX,st,1
BRONX,stree,5
BRONX,subn,1
BRONX,subur,1
BRONX,sweep,1
BRONX,tank,2
BRONX,tk,1
BRONX,tow t,2
BRONX,tract,2
BRONX,trail,4
BRONX,trailer,1
BRONX,truck,4
BRONX,unk,2
BRONX,unkno,4
BRONX,unknown,1
BRONX,usps,1
BRONX,util,1
BRONX,van,31
