borough,latitude,longitude,crash_time,contributing_factor_vehicle_1
BROOKLYN,40.683580,-73.976170,21:35:00,Unspecified
BROOKLYN,40.697540,-73.983120,22:50:00,Passing or Lane Usage Improper
BRONX,40.843464,-73.836000,14:50:00,Unspecified
BROOKLYN,40.626457,-73.918000,22:20:00,Driver Inexperience
STATEN ISLAND,40.526894,-74.167280,22:58:00,Failure to Yield Right-of-Way
BRONX,40.857365,-73.846570,13:30:00,Following Too Closely
QUEENS,40.714020,-73.748270,21:43:00,Turning Improperly
BRONX,40.815000,-73.894020,17:40:00,Unspecified
BROOKLYN,40.655903,-73.898170,10:30:00,Unspecified
BRONX,40.890076,-73.819855,16:35:00,Unsafe Speed
BROOKLYN,40.650402,-73.894220,17:20:00,Following Too Closely
MANHATTAN,40.793350,-73.972750,21:20:00,Backing Unsafely
MANHATTAN,40.725380,-74.000110,17:20:00,Driver Inattention/Distraction
QUEENS,40.751840,-73.903580,14:30:00,Driver Inattention/Distraction
BROOKLYN,40.649788,-73.962200,23:20:00,Unspecified
BROOKLYN,40.686928,-73.920815,18:15:00,Driver Inattention/Distraction
BROOKLYN,40.712963,-73.936470,13:00:00,Passing or Lane Usage Improper
BROOKLYN,40.633976,-74.022110,15:16:00,Passing Too Closely
BRONX,40.817696,-73.922615,21:08:00,Steering Failure
BROOKLYN,40.668495,-73.925606,20:34:00,Failure to Yield Right-of-Way
BRONX,40.841087,-73.864470,12:16:00,Traffic Control Disregarded
BROOKLYN,40.709550,-73.958870,18:15:00,Unspecified
BROOKLYN,40.700356,-73.957320,21:04:00,Drugs (illegal)
QUEENS,40.749580,-73.865410,11:00:00,Turning Improperly
QUEENS,40.731970,-73.786510,17:00:00,Traffic Control Disregarded
BROOKLYN,40.638268,-73.931870,18:25:00,Unspecified
BROOKLYN,40.696735,-73.934810,16:08:00,Unspecified
QUEENS,40.775414,-73.919840,8:05:00,Following Too Closely
BRONX,40.847440,-73.899680,20:13:00,Driver Inattention/Distraction
STATEN ISLAND,40.542908,-74.155790,16:30:00,Failure to Yield Right-of-Way
BROOKLYN,40.632416,-73.947240,16:37:00,Driver Inattention/Distraction
BROOKLYN,40.714207,-73.928170,6:05:00,Driver Inattention/Distraction
QUEENS,40.727913,-73.873245,8:40:00,Failure to Yield Right-of-Way
BRONX,40.854485,-73.854645,20:15:00,Turning Improperly
BROOKLYN,40.698986,-73.916710,23:00:00,Driver Inattention/Distraction
MANHATTAN,40.841717,-73.944350,20:55:00,Driver Inattention/Distraction
BRONX,40.861687,-73.824350,17:25:00,Unspecified
BROOKLYN,40.691822,-73.922230,6:45:00,Reaction to Uninvolved Vehicle
BRONX,40.856014,-73.912130,12:00:00,Unspecified
BROOKLYN,40.642044,-73.981240,19:10:00,Unspecified
QUEENS,40.698140,-73.891110,13:55:00,Unsafe Speed
BROOKLYN,40.646640,-73.924600,0:00:00,Driver Inattention/Distraction
MANHATTAN,40.760822,-73.998320,22:25:00,Failure to Yield Right-of-Way
MANHATTAN,40.746080,-73.974945,10:09:00,Unspecified
BROOKLYN,40.626293,-74.015720,0:01:00,Driver Inexperience
MANHATTAN,40.767967,-73.968220,20:45:00,Driver Inattention/Distraction
BROOKLYN,40.673634,-73.892940,7:00:00,Driver Inattention/Distraction
BROOKLYN,40.579212,-73.976265,10:45:00,Following Too Closely
STATEN ISLAND,40.573650,-74.112520,12:00:00,Failure to Yield Right-of-Way
BROOKLYN,40.619396,-73.969574,3:39:00,Unspecified
BROOKLYN,40.708805,-73.925770,15:05:00,Failure to Yield Right-of-Way
BRONX,40.826424,-73.858680,9:33:00,Failure to Yield Right-of-Way
BROOKLYN,40.727146,-73.954735,11:45:00,Passing Too Closely
QUEENS,40.702335,-73.890730,13:02:00,Driver Inattention/Distraction
BROOKLYN,40.587894,-73.955040,0:00:00,Driver Inattention/Distraction
BROOKLYN,40.679220,-73.904050,17:55:00,Unspecified
BROOKLYN,40.650470,-73.917366,5:30:00,Driver Inattention/Distraction
MANHATTAN,40.836555,-73.943060,20:26:00,Failure to Yield Right-of-Way
BRONX,40.870056,-73.832220,9:00:00,Unspecified
MANHATTAN,40.805138,-73.945244,0:10:00,Reaction to Uninvolved Vehicle
BRONX,40.859680,-73.904270,11:41:00,Passing Too Closely
BRONX,40.819214,-73.846620,0:05:00,Steering Failure
BRONX,40.827972,-73.887070,11:30:00,Unspecified
MANHATTAN,40.748825,-73.969840,8:03:00,Driver Inattention/Distraction
QUEENS,40.733597,-73.910620,7:45:00,Driver Inattention/Distraction
STATEN ISLAND,40.540480,-74.153404,6:45:00,View Obstructed/Limited
BRONX,40.817627,-73.923660,18:00:00,Backing Unsafely
MANHATTAN,40.751446,-74.001434,12:26:00,Failure to Yield Right-of-Way
MANHATTAN,40.761610,-73.970760,8:10:00,Driver Inexperience
BROOKLYN,40.689648,-73.918400,16:00:00,Unspecified
BROOKLYN,40.596977,-73.973240,18:30:00,Unspecified
BROOKLYN,40.638640,-74.022450,14:56:00,Unspecified
STATEN ISLAND,40.565254,-74.130100,17:30:00,Unspecified
BROOKLYN,40.655895,-73.898224,7:15:00,Unspecified
BROOKLYN,40.688210,-73.965830,20:10:00,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
MANHATTAN,40.716490,-73.984840,9:28:00,Unspecified
BRONX,40.876785,-73.874460,14:30:00,Passing Too Closely
BRONX,40.863670,-73.867410,18:05:00,Alcohol Involvement
BRONX,40.835827,-73.890680,0:00:00,Driver Inexperience
MANHATTAN,40.793396,-73.940430,15:37:00,Unspecified
BRONX,40.848270,-73.883120,17:20:00,Failure to Yield Right-of-Way
BROOKLYN,40.693462,-73.965485,9:25:00,Driver Inattention/Distraction
BROOKLYN,40.667250,-73.887990,16:00:00,Unspecified
BRONX,40.844105,-73.923065,17:55:00,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
BROOKLYN,40.651707,-73.931210,21:00:00,Backing Unsafely
QUEENS,40.680496,-73.821365,10:30:00,Failure to Yield Right-of-Way
BRONX,40.834415,-73.928540,23:36:00,View Obstructed/Limited
QUEENS,40.735700,-73.903770,0:00:00,Driver Inattention/Distraction
BROOKLYN,40.694840,-73.983910,19:45:00,Driver Inattention/Distraction
MANHATTAN,40.785774,-73.970520,7:45:00,Passing or Lane Usage Improper
QUEENS,40.733017,-73.885200,12:30:00,Driver Inattention/Distraction
BROOKLYN,40.620487,-74.029305,15:18:00,Driver Inattention/Distraction
BROOKLYN,40.618595,-73.998470,17:50:00,Driver Inattention/Distraction
MANHATTAN,40.803787,-73.953896,10:29:00,Unspecified
BRONX,40.823190,-73.889496,20:02:00,Passing or Lane Usage Improper
BRONX,40.827927,-73.900940,19:00:00,Unspecified
BROOKLYN,40.668950,-73.933900,22:21:00,Driver Inattention/Distraction
BRONX,40.875874,-73.849890,23:14:00,Unspecified
MANHATTAN,40.734352,-74.008490,6:35:00,Backing Unsafely
BROOKLYN,40.630830,-73.907360,14:50:00,Driver Inexperience
BROOKLYN,40.635320,-73.950330,18:35:00,Driver Inattention/Distraction
BROOKLYN,40.714073,-73.950870,10:30:00,Driver Inattention/Distraction
BROOKLYN,40.702194,-73.935870,6:55:00,Passing or Lane Usage Improper
MANHATTAN,40.764362,-73.961620,16:58:00,Driver Inattention/Distraction
BRONX,40.805016,-73.921090,9:00:00,Unspecified
QUEENS,40.664060,-73.738460,17:00:00,Unspecified
MANHATTAN,40.796300,-73.938290,13:14:00,Turning Improperly
QUEENS,40.665630,-73.739210,2:25:00,Traffic Control Disregarded
QUEENS,40.680477,-73.792100,16:00:00,Driver Inattention/Distraction
MANHATTAN,40.778606,-73.981630,12:26:00,Backing Unsafely
QUEENS,40.758680,-73.875520,0:30:00,Unsafe Speed
BRONX,40.880257,-73.843864,23:36:00,Passing Too Closely
QUEENS,40.606770,-73.759575,20:00:00,Passing or Lane Usage Improper
BRONX,40.835100,-73.882500,6:13:00,Unspecified
BROOKLYN,40.633682,-73.898680,14:41:00,Unspecified
BROOKLYN,40.698116,-73.977325,11:54:00,Failure to Yield Right-of-Way
QUEENS,40.715800,-73.824486,14:30:00,Driver Inattention/Distraction
MANHATTAN,40.755840,-73.992380,23:00:00,Unspecified
BROOKLYN,40.681602,-73.958550,20:19:00,Driver Inexperience
BROOKLYN,40.626770,-73.946884,14:36:00,Driver Inattention/Distraction
BRONX,40.854115,-73.890910,21:30:00,Driver Inattention/Distraction
BROOKLYN,40.629707,-73.904860,15:21:00,Unspecified
QUEENS,40.726540,-73.715890,0:40:00,Driver Inattention/Distraction
STATEN ISLAND,40.634415,-74.085350,18:00:00,Unspecified
BRONX,40.894660,-73.861370,17:25:00,Driver Inattention/Distraction
BROOKLYN,40.669067,-73.987800,6:40:00,Unspecified
QUEENS,40.681484,-73.850490,11:00:00,Failure to Yield Right-of-Way
BRONX,40.824330,-73.874374,9:31:00,Passing Too Closely
BROOKLYN,40.657850,-73.916480,21:52:00,Unspecified
BROOKLYN,40.717910,-73.953410,17:30:00,Turning Improperly
QUEENS,40.739730,-73.706250,8:30:00,Unspecified
MANHATTAN,40.795200,-73.946230,16:21:00,Passing Too Closely
BROOKLYN,40.694794,-73.982460,10:40:00,Failure to Yield Right-of-Way
BROOKLYN,40.614063,-74.013930,8:30:00,Unspecified
BROOKLYN,40.633152,-73.977620,18:50:00,Unspecified
BROOKLYN,40.612736,-74.011720,15:23:00,Following Too Closely
BROOKLYN,40.701660,-73.961464,17:55:00,Pavement Slippery
MANHATTAN,40.806410,-73.942270,0:42:00,Unspecified
MANHATTAN,40.762234,-73.989870,12:30:00,Driver Inattention/Distraction
