"nta_name","location_name","latitude","longitude"
"East Harlem North","Isaac Newton Middle School for Math & Science","40.794184","-73.932868"
"Ozone Park","Robert H. Goddard High School of Communication Art","40.670905","-73.845992"
"Morningside Heights","P.S. 165 Robert E. Simon","40.802653","-73.965949"
"Midwood","P.S. 197 - The Kings Highway Academy","40.612339","-73.951398"
"East Flushing","P.S. 024 Andrew Jackson","40.751972","-73.8181"
"Old Astoria","The 30th Avenue School (G&T Citywide)","40.768034","-73.922544"
"Rugby-Remsen Village","P.S. 268 Emma Lazarus","40.657421","-73.92756"
"Gravesend","High School of Sports Management","40.593028","-73.986313"
"Flushing","P.S. 242 Leonard P. Stavisky Early Childhood Schoo","40.769752","-73.832005"
"Bronxdale","Aspire Preparatory Middle School","40.862098","-73.865028"
"East Concourse-Concourse Village","J.H.S. 145 Arturo Toscanini","40.827438","-73.914067"
"Morrisania-Melrose","P.S. 110 Theodore Schoenfeld","40.83447","-73.900654"
"Auburndale","Francis Lewis High School","40.740875","-73.795049"
"park-cemetery-etc-Brooklyn","Multicultural High School","40.693002","-73.869305"
"Bedford","Brooklyn Academy High School","40.684654","-73.947873"
"East Williamsburg","Brooklyn Latin School, The","40.709765","-73.944463"
"Stuyvesant Heights","P.S. 025 Eubie Blake School","40.691472","-73.940749"
"Georgetown-Marine Park-Bergen Beach-Mill Basin","J.H.S. 078 Roy H. Mann","40.620537","-73.912914"
"East Concourse-Concourse Village","Jonathan Levin High School for Media and Communica","40.839307","-73.911366"
"Briarwood-Jamaica Hills","Growing Up Green Charter School II","40.713084","-73.807561"
"Parkchester","P.S. 106 Parkchester","40.836974","-73.854823"
"Hudson Yards-Chelsea-Flatiron-Union Square","Humanities Preparatory Academy","40.743407","-74.00254"
"Ozone Park","P.S. 063 Old South","40.676978","-73.846796"
"Williamsbridge-Olinville","Bronx Aerospace High School","40.875172","-73.861649"
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","The Math & Science Exploratory School","40.683951","-73.980266"
"Mariner's Harbor-Arlington-Port Ivory-Graniteville","Staten Island School of Civic Leadership","40.62031","-74.164427"
"Bedford","Bedford Stuyvesant Preparatory High School","40.684654","-73.947873"
"Lincoln Square","High School of Arts and Technology","40.774891","-73.985608"
"Canarsie","High School for Medical Professions","40.640543","-73.898601"
"Madison","James Madison High School","40.610499","-73.947661"
"Lenox Hill-Roosevelt Island","Talent Unlimited High School","40.765638","-73.959777"
"Ozone Park","J.H.S. 202 Robert H. Goddard","40.670905","-73.845992"
"Flushing","P.S. 020 John Bowne","40.758347","-73.824388"
"Stuyvesant Heights","La Cima Charter School","40.68797","-73.932066"
"Gravesend","P.S. K721 - Brooklyn Occupational Training Center","40.58807","-73.981925"
"Forest Hills","Queens Metropolitan High School","40.708431","-73.855543"
"Steinway","P.S. 085 Judge Charles Vallone","40.773126","-73.915039"
"East Concourse-Concourse Village","P.S. 035 Franz Siegel","40.828009","-73.917705"
"Richmond Hill","P.S. 090 Horace Mann","40.696653","-73.839517"
"Forest Hills","P.S. 144 Col Jeromus Remsen","40.71489","-73.852398"
"Central Harlem South","The Alain L. Locke Magnet School for Environmental","40.798461","-73.950146"
"East New York","Achievement First Apollo Charter School","40.677112","-73.884211"
"Stapleton-Rosebank","The Richard H. Hungerford School","40.620835","-74.077054"
"Lincoln Square","The Riverside School for Makers and Artists","40.7722","-73.990902"
"Bellerose","P.S. Q023 @ Queens Children Center","40.747914","-73.723644"
"West Concourse","Health Opportunities High School","40.815712","-73.92996"
"West Village","M.S. 297","40.731006","-74.007192"
"Lower East Side","P.S. 002 Meyer London","40.712907","-73.991523"
"Canarsie","Canarsie Ascend Charter School","40.643834","-73.900432"
"Fort Greene","Compass Charter School","40.688769","-73.971474"
"Bedford","P.S. 256 Benjamin Banneker","40.690595","-73.94961"
"Hammels-Arverne-Edgemere","P.S. 183 Dr. Richard R. Green","40.58922","-73.805866"
"Gramercy","The High School For Language And Diplomacy","40.735361","-73.987064"
"Chinatown","P.S. 001 Alfred E. Smith","40.71255","-73.997478"
"Bushwick South","The High School for Enterprise, Business and Techn","40.711134","-73.938921"
"Old Astoria","P.S. 017 Henry David Thoreau","40.768034","-73.922544"
"Melrose South-Mott Haven North","I S 184 Rafael C Y Molina","40.8189","-73.9059"
"East Elmhurst","East Elmhurst Community School","40.761573","-73.872244"
"Georgetown-Marine Park-Bergen Beach-Mill Basin","P.S. 207 Elizabeth G. Leary","40.613981","-73.930485"
"Washington Heights South","WHIN Music Community","40.836982","-73.937263"
"Soundview-Castle Hill-Clason Point-Harding Park","Grand Concourse Charter School","40.818442","-73.858773"
"Bedford","The School for the Urban Environment","40.696698","-73.947557"
"Fordham South","KIPP Elements Primary Charter School","40.857932","-73.903764"
"West Farms-Bronx River","P.S. 197","40.830811","-73.877305"
"Belmont","The Bronx STEM and Arts Academy","40.850674","-73.886997"
"Carroll Gardens-Columbia Street-Red Hook","P.S. 032 Samuel Mills Sprole","40.680159","-73.991141"
"Clinton Hill","P.S. 011 Purvis J. Behan","40.685896","-73.96589"
"Crown Heights North","M S 390 Maggie L. Walker","40.6727","-73.9372"
"East Harlem North","Global Technology Preparatory","40.800616","-73.939374"
"Auburndale","I.S. 025 Adrien Block","40.764884","-73.789365"
"Van Cortlandt Village","Ampark Neighborhood","40.883049","-73.891664"
"West Concourse","Boys Preparatory Charter School of New York","40.820298","-73.927397"
"North Side-South Side","P.S. 084 Jose De Diego","40.715089","-73.963808"
"Mott Haven-Port Morris","Brilla College Prep Charter School","40.812804","-73.919316"
"University Heights-Morris Heights","P.S. 204 Morris Heights","40.849416","-73.915217"
"Prospect Lefferts Gardens-Wingate","Parkside Preparatory Academy","40.656423","-73.951575"
"Ridgewood","I.S. 077","40.699101","-73.902147"
"New Dorp-Midland Beach","P.S. 038 George Cromwell","40.574799","-74.099409"
"Schuylerville-Throgs Neck-Edgewater Park","Hospital Schools","40.831829","-73.827642"
"Soundview-Castle Hill-Clason Point-Harding Park","Icahn Charter School 7","40.822522","-73.877274"
"East Harlem South","THE JUDITH S. KAYE HIGH SCHOOL","40.784112","-73.945647"
"East Tremont","P.S. 006 West Farms","40.840445","-73.882531"
"Chinatown","Murry Bergtraum High School for Business Careers","40.711441","-74.000851"
"Erasmus","Erasmus Campus - Humanities","40.6495","-73.9585"
"Ridgewood","P.S. 088 Seneca","40.704105","-73.896437"
"East Concourse-Concourse Village","DREAM Mott Haven Charter School","40.822574","-73.92114"
"Jamaica","M.S. 358","40.708698","-73.797981"
"Lower East Side","P.S. 034 Franklin D. Roosevelt","40.726008","-73.975058"
"Soundview-Castle Hill-Clason Point-Harding Park","Bronx Compass High School","40.821218","-73.85593"
"East Harlem South","P.S. 146 Ann M. Short","40.789535","-73.938727"
"Soundview-Castle Hill-Clason Point-Harding Park","Adlai E. Stevenson High School","40.8223","-73.8562"
"Borough Park","P.S. 164 Caesar Rodney","40.637101","-73.985739"
"Elmhurst","Central Queens Academy Charter School","40.737321","-73.866454"
"Longwood","The Academy of the Arts","40.820108","-73.898399"
"Sunset Park West","P.S. 503: The School of Discovery","40.64195","-74.019299"
"Cypress Hills-City Line","P.S. 108 Sal Abbracciamento","40.681295","-73.884348"
"Longwood","Longwood Preparatory Academy","40.817741","-73.897876"
"Fordham South","P.S. 085 Great Expectations","40.858689","-73.894682"
"New Dorp-Midland Beach","New Dorp High School","40.570909","-74.105878"
"Flatbush","P.S. 245","40.644927","-73.962743"
"East Harlem North","James Weldon Johnson","40.797205","-73.941598"
"University Heights-Morris Heights","P.S. 109 Sedgwick","40.851661","-73.918991"
"Longwood","I S 158 Theodore Gathings","40.8277","-73.9001"
"Williamsbridge-Olinville","P.S. 041 Gun Hill Road","40.874754","-73.867834"
"Clinton Hill","Brooklyn High School for Leadership and Community","40.692015","-73.95818"
"Allerton-Pelham Gardens","J.H.S. 144 Michelangelo","40.863842","-73.836525"
"Bedford","Brooklyn East Collegiate Charter School","40.684654","-73.947873"
"Laurelton","Queens United Middle School","40.672259","-73.743327"
"Brownsville","P.S. 150 Christopher","40.668768","-73.90514"
"Canarsie","P.S. 279 Herman Schreiber","40.644134","-73.892797"
"Bellerose","Business Technology Early College High School","40.733888","-73.739726"
"East Harlem South","Renaissance Charter High School for Innovation","40.785107","-73.942154"
"Marble Hill-Inwood","Inwood Early College for Health and Information Te","40.865556","-73.925464"
"Prospect Lefferts Gardens-Wingate","Arts & Media Preparatory Academy","40.659088","-73.928744"
"Richmond Hill","P. S. 62 - Chester Park School","40.688359","-73.835567"
"East Harlem North","P.S. 112 Jose Celso Barbosa","40.796889","-73.930528"
"Soundview-Castle Hill-Clason Point-Harding Park","P.S. 093 Albert G. Oliver","40.822522","-73.877274"
"Bushwick South","Williamsburg Charter High School","40.703703","-73.935969"
"Stuyvesant Heights","M.S. 267 Math, Science & Technology","40.68797","-73.932066"
"East Concourse-Concourse Village","KIPP Academy Charter School","40.822574","-73.92114"
"Upper West Side","P.S. 075 Emily Dickinson","40.795109","-73.973996"
"Soundview-Castle Hill-Clason Point-Harding Park","Soundview Academy for Culture and Scholarship","40.822925","-73.859998"
"Mount Hope","I.S. 117 Joseph H. Wade","40.848552","-73.909022"
"Melrose South-Mott Haven North","South Bronx Early College Academy Charter School","40.818069","-73.904223"
"Erasmus","Erasmus Campus - Science/Math","40.6495","-73.9585"
"Prospect Lefferts Gardens-Wingate","Explore Charter School","40.656423","-73.951575"
"North Corona","P.S. 110","40.745995","-73.866372"
"Stuyvesant Heights","Brooklyn High School for Law and Technology","40.688399","-73.920603"
"Prospect Lefferts Gardens-Wingate","M.S. 061 Dr. Gladstone H. Atwell","40.663605","-73.949198"
"Erasmus","Erasmus Campus - Business/Tec","40.6495","-73.9585"
"Canarsie","P.S. 115 Daniel Mucatel School","40.634861","-73.897896"
"Washington Heights North","Zeta Charter Schools - New York City 1","40.853517","-73.932869"
"Central Harlem North-Polo Grounds","P.S. 194 Countee Cullen","40.821208","-73.941111"
"Ridgewood","Learners and Leaders","40.706837","-73.91499"
"West New Brighton-New Brighton-St. George","Ralph R. McKee Career and Technical Education High","40.64282","-74.079263"
"Jamaica","P.S. 050 Talfourd Lawn Elementary School","40.694868","-73.806842"
"Crotona Park East","P.S. 061 Francisco Oller","40.836156","-73.892784"
"Bushwick North","Bushwick Community High School","40.695875","-73.915217"
"Brownsville","The Gregory Jocko Jackson School of Sports, Art, a","40.666942","-73.907634"
"Springfield Gardens North","School Of Opportunities At The August Martin Campu","40.673949","-73.782684"
"Port Richmond","Port Richmond High School","40.635562","-74.141924"
"East Concourse-Concourse Village","Business Enterprise High School","40.839307","-73.911366"
"Sunset Park West","P.S. 295","40.660805","-73.988743"
"Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","The Michael J. Petrides School","40.607637","-74.105883"
"Briarwood-Jamaica Hills","Young Women's Leadership School, Queens","40.708409","-73.804166"
"East Concourse-Concourse Village","Bronx Collegiate Academy","40.839307","-73.911366"
"Morrisania-Melrose","P.S. 198","40.828406","-73.900121"
"Washington Heights South","KIPP Washington Heights Middle School","40.839139","-73.935815"
"Eastchester-Edenwald-Baychester","P.S. 111 Seton Falls","40.884371","-73.839288"
"Murray Hill-Kips Bay","Murray Hill Academy","40.74651","-73.98107"
"Chinatown","Emma Lazarus High School","40.716231","-73.993607"
"Stuyvesant Heights","Brooklyn Brownstone School","40.681528","-73.935891"
"Jamaica","I.S. 238 - Susan B. Anthony Academy","40.712743","-73.779653"
"East New York (Pennsylvania Ave)","Legacy School of the Arts","40.662243","-73.894877"
"Upper West Side","Community Action School - MS 258","40.791395","-73.971011"
"Dyker Heights","J.H.S. 201 The Dyker Heights","40.619043","-74.013749"
"Brownsville","P.S. 156 Waverly","40.665553","-73.91788"
"Mount Hope","The Angelo Patri Middle School","40.854257","-73.897404"
"Soundview-Castle Hill-Clason Point-Harding Park","P.S. 107","40.819221","-73.868735"
"Forest Hills","P.S. 196 Grand Central Parkway","40.722792","-73.837379"
"Bayside-Bayside Hills","P.S. 130","40.760219","-73.784009"
"East Harlem South","Central Park East I","40.793649","-73.948488"
"Elmhurst","P.S. 013 Clement C. Moore","40.737441","-73.867662"
"Bushwick North","P.S. 123 Suydam","40.704076","-73.922388"
"Stuyvesant Heights","Whitelaw Reid Academy of Arts and Business","40.691467","-73.932254"
"Mott Haven-Port Morris","Mott Haven Community High School","40.810671","-73.907528"
"Forest Hills","The Academy for Excellence through the Arts","40.725787","-73.844032"
"East Concourse-Concourse Village","District 9 HS#1","40.839307","-73.911366"
"Sheepshead Bay-Gerritsen Beach-Manhattan Beach","P.S. 195 Manhattan Beach","40.580161","-73.943498"
"South Jamaica","J.H.S. 008 Richard S. Grossley","40.69691","-73.786403"
"Lower East Side","Girls Preparatory Charter School of New York","40.719888","-73.97738"
"Prospect Lefferts Gardens-Wingate","Middle School for the Arts","40.662092","-73.936313"
"Corona","I.S. 061 Leonardo Da Vinci","40.741898","-73.862886"
"Cambria Heights","Mathematics, Science Research and Technology Magne","40.698786","-73.74633"
"Woodside","Academy of the City Charter School","40.756181","-73.902197"
"Hunters Point-Sunnyside-West Maspeth","P.S./I.S. 78Q","40.744368","-73.957177"
"Van Cortlandt Village","The Bronx High School of Science","40.879958","-73.889011"
"Lower East Side","New Explorations into Science, Technology and Math","40.719416","-73.979581"
"Upper East Side-Carnegie Hill","P.S. 198 Isador E. Ida Straus","40.785018","-73.95042"
"Murray Hill-Kips Bay","Norman Thomas High School","40.74651","-73.98107"
"Great Kills","The David Marquis School of the Arts","40.5641","-74.151368"
"Central Harlem South","Sisulu-Walker Charter School of Harlem","40.802096","-73.951357"
"Annadale-Huguenot-Prince's Bay-Eltingville","P.S. 036 J. C. Drumgoole","40.543433","-74.182548"
"East Harlem South","P.S. 171 Patrick Henry","40.792302","-73.951425"
"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Rockaway Park High School for Environmental Sustai","40.586012","-73.825317"
"Melrose South-Mott Haven North","P.S. 157 Grove Hill","40.819419","-73.908965"
"Central Harlem North-Polo Grounds","JHS 010 Frederick Douglas","40.8243","-73.9371"
"Greenpoint","P.S. 034 Oliver H. Perry","40.726378","-73.949756"
"Mott Haven-Port Morris","South Bronx Preparatory: A College Board School","40.813612","-73.920851"
"Hunters Point-Sunnyside-West Maspeth","Queens Technical High School","40.741658","-73.927995"
"Briarwood-Jamaica Hills","P.S. 082 Hammond","40.703897","-73.8122"
"Bushwick North","Math, Engineering, and Science Academy Charter Hig","40.695875","-73.915217"
"East Concourse-Concourse Village","J.H.S. 151 Lou Gehrig","40.822574","-73.92114"
"Hunters Point-Sunnyside-West Maspeth","P.S. 199 Maurice A. Fitzgerald","40.739831","-73.926081"
"Crotona Park East","P.S. 214","40.839297","-73.879931"
"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Channel View School for Research","40.586012","-73.825317"
"South Ozone Park","P.S. 121 Queens","40.683585","-73.81533"
"Lower East Side","Manhattan Charter School","40.718121","-73.984116"
"East Concourse-Concourse Village","Urban Assembly Academy for History and Citizenship","40.839307","-73.911366"
"West New Brighton-New Brighton-St. George","I.S. 027 Anning S. Prall","40.628291","-74.117818"
"Pelham Bay-Country Club-City Island","P.S. 071 Rose E. Scala","40.845379","-73.829562"
"Allerton-Pelham Gardens","P.S. 097 Bronx","40.863524","-73.846768"
"New Springville-Bloomfield-Travis","P.S. 054 Charles W. Leng","40.602779","-74.137259"
"South Ozone Park","Hawtree Creek Middle School","40.675021","-73.81673"
"East Harlem North","P.S. M079 - Horan School","40.802547","-73.942009"
"Longwood","Bronx Career and College Preparatory High School","40.826933","-73.900593"
"Stuyvesant Heights","EMBER Charter School for Mindful Education, Innova","40.688323","-73.935509"
"Hammels-Arverne-Edgemere","Goldie Maple Academy","40.594008","-73.786649"
"Canarsie","I.S. 211 John Wilson","40.642931","-73.895224"
"Highbridge","P.S. 126 Dr Marjorie H Dunbar","40.835866","-73.9282"
"Washington Heights North","Middle School 322","40.860951","-73.930082"
"Bushwick North","J.H.S. 383 Philippa Schuyler","40.697898","-73.919088"
"Bedford","P.S. 023 Carter G. Woodson","40.69447","-73.947256"
"Mott Haven-Port Morris","International Community High School","40.810314","-73.918774"
"West Farms-Bronx River","The Metropolitan Soundview High School","40.832508","-73.878191"
"Manhattanville","Academy for Social Action","40.815747","-73.95552"
"South Ozone Park","Future Leaders High School At The John Adams Campu","40.680065","-73.838616"
"Bensonhurst West","P.S. 247 Brooklyn","40.612247","-73.987195"
"Norwood","P469X - The Bronx School for Continuous Learners","40.872559","-73.875375"
"Far Rockaway-Bayswater","M.S. 053 Brian Piccolo","40.604019","-73.749891"
"Crown Heights South","Clara Barton High School","40.669805","-73.960689"
"Ft. Totten-Bay Terrace-Clearview","BELL Academy","40.782331","-73.77843"
"Hunters Point-Sunnyside-West Maspeth","P.S. 150 Queens","40.745887","-73.923375"
"New Brighton-Silver Lake","P.S. 045 John Tyler","40.628419","-74.107537"
"University Heights-Morris Heights","P.S. 230 Dr Roland N. Patterson","40.8524","-73.9216"
"Canarsie","Brooklyn Community High School for Excellence and","40.634451","-73.916927"
"Queensbridge-Ravenswood-Long Island City","P.S. 112 Dutch Kills","40.757293","-73.933562"
"Soundview-Bruckner","Blueprint Middle School","40.829153","-73.857882"
"East New York","P.S. 345 Patrolman Robert Bolden","40.676207","-73.879886"
"St. Albans","P.S. 136 Roy Wilkins","40.69894","-73.752694"
